Datetime,Close,High,Low,Open,Volume,EMA_9,EMA_20,EMA_50,RSI,ATR,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,EMA_Gap_Pct,EMA9_Slope,EMA20_Slope,RSI_Change,ATR_Pct,RSI_Above_50,Prev_EMA_Diff,Curr_EMA_Diff,Crossover,Target
2024-06-16 06:00:00+00:00,66269.6484375,66314.4453125,66159.90625,66225.2890625,0,66171.41467180604,66169.58883461737,66404.25855242371,54.28184065865052,156.40984135086595,-23.998855267520412,23.272038627208524,-47.270893894728935,2.759329808177764e-05,24.558441423490876,10.532589777125395,2.2969187431036246,0.0023602032761404893,1,-12.200014457703219,1.8258371886622626,1,1.0
2024-06-17 03:00:00+00:00,66210.671875,66380.84375,66165.109375,66301.5703125,415835136,66430.52737000673,66436.73189659324,66449.91365534114,41.45190227852782,191.11441262479178,22.80942395766033,-41.56122622270962,64.37065018036995,-9.339000293029014e-05,-54.963873751679785,-23.795791746655595,-3.3861635873141296,0.0028864593457924607,0,24.963555418522446,-6.204526586501743,-1,1.0
2024-06-17 18:00:00+00:00,67022.5234375,67188.3203125,66544.203125,66544.203125,2317838336,66065.63498708811,66063.56139532512,66220.00827901757,66.05229021260881,382.98624052715036,-60.50942769678659,92.41778576480641,-152.927213461593,3.1387828921078055e-05,239.22211260297627,100.94337286052178,7.30678608113007,0.005714291567733847,1,-136.2051479794609,2.073591762993601,1,0.0
2024-06-19 13:00:00+00:00,65053.859375,65178.38671875,65043.24609375,65156.1875,0,65220.27390496952,65233.50228147124,65435.81881310262,44.39625884616188,336.14290330288236,-35.810175430866366,8.61556753323768,-44.425742964104046,-0.0002027850113679609,-41.60363249237707,-18.909779628549586,-2.767304364247778,0.005167147753144082,0,9.465476362107438,-13.22837650172005,-1,0.0
2024-06-20 04:00:00+00:00,65274.99609375,65282.0703125,65080.5625,65168.48828125,0,65097.706691734966,65082.39100944691,65244.14203857638,55.83985605361995,251.98167133412485,-18.953540650451032,42.80306378054105,-61.756604430992084,0.0002353275909275125,44.322350503767666,20.27421940032218,4.21592010849551,0.0038603092518339007,1,-8.732448815389944,15.315682288055541,1,1.0
2024-06-20 16:00:00+00:00,64793.11328125,64886.078125,64548.28125,64788.8046875,916736000,65244.041548251516,65302.88910074114,65327.51264059912,39.23775870218074,327.70810398683227,-7.62440007236728,-92.88658648383968,85.2621864114724,-0.0009011477639042529,-112.73206675037363,-53.6606125780163,-0.23310077712735477,0.005057761348252196,0,0.22390168273705058,-58.847552489620284,-1,1.0
2024-06-23 13:00:00+00:00,64251.91015625,64382.8203125,64246.17578125,64334.58984375,45091328,64318.484671619175,64323.0143405196,64364.71467794065,44.65933104813763,97.96622723457227,3.6134518069884507,-13.764542185739014,17.377993992727465,-7.042065653896171e-05,-16.64362884228467,-7.484650975748082,-5.434387086510739,0.001524720852599318,0,4.6293089661121485,-4.52966890042444,-1,1.0
2024-06-26 10:00:00+00:00,61258.65234375,61361.87109375,61207.4609375,61361.87109375,0,61550.38745806471,61586.03822054318,61718.06338785386,43.010978119118214,310.51033570267964,10.374107199910213,-80.33472301901311,90.70883021892332,-0.000578877347992483,-72.93377857867745,-34.461671241384465,-1.8430423031397893,0.005068840462899277,0,2.8213448588212486,-35.650762478471734,-1,0.0
2024-06-26 14:00:00+00:00,61760.04296875,61951.8046875,61577.44921875,61742.18359375,0,61602.46562157331,61596.633867842655,61701.768431642995,54.12046563710832,312.64147025827094,21.58508967499074,-19.047100246179518,40.63218992117026,9.467650039399402e-05,39.39433679416834,17.200957990244206,-0.583538438647345,0.0050621964498383624,1,-16.361625073266623,5.8317537306575105,1,0.0
2024-06-26 15:00:00+00:00,61409.796875,61732.4921875,61213.3125,61732.4921875,0,61563.931872258654,61578.83986852431,61690.3185666766,46.48830504402525,329.3621130076802,4.293701567614335,-29.070790682844738,33.36449225045907,-0.00024209608848565464,-38.53374931465805,-17.793999318346323,-7.632160593083064,0.005363348028623164,0,5.8317537306575105,-14.90799626565422,-1,1.0
